"SourceTable","IdNo","Active","DatabaseName","ReportCode","ReportFileName","ReportName"
"Report","100","0","IGROUPCLINIC","100","ListofDailyPatients","ListofDailyPatients"
"Report","67","0","IGROUPCLINIC","67","ListofDailyPatients","ListofDailyPatients"
"Report","214","1","IGROUPCLINIC","214","MOH Clinic Report","MOH Clinic Report (IGroup)"
"Report","232","1","KIZEN","214","MOH Clinic Report All Nationalities","MOH Clinic Report All Nationalities (Kizen)"
"Report","233","1","KIZEN","214","MOH Clinic Report Saudi and Expats","MOH Clinic Report Saudis And Expats Kizen)"
"Report","218","1","IGROUPCLINIC","218","MOH Diagnostic Center Report","MOH Diagnostic Center Report (IGroup)"
"Report","234","1","KIZEN","218","MOH Diagnostic Center Report","MOH Diagnostic Center Report (Kizen)"
"Report","79","1","IGROUPCLINIC","79","MOHReportClinic","MOHReportClinic"
"Report","155","1","IGROUPCLINIC","127","Number of Patients per Doctor per Day","Number of Patients per Doctor per Day"
"Report","121","1","IGROUPCLINIC","119","Number of Patients Per Doctor Per Month","Number of Patients Per Doctor Per Month"
"Report","13","0","IGROUPCLINIC","13","OpeningStock","OpeningStock"
"Report","91","0","IGROUPCLINIC","91","PayRDependentDetails","PayRDependentDetails"
"Report","90","0","IGROUPCLINIC","90","PayRIPVDetails","PayRIPVDetails"
"Report","92","0","IGROUPCLINIC","92","PayRIPVDetails","PayRIPVDetails"
"Report","347","1","BIOTIME","ATT01","Periodic Attendance Report.rpt","Periodic Attendance Report"
"Report","41","0","IGROUPCLINIC","41","PharmacyCreditStatement","PharmacyCreditStatement"
"Report","30","0","IGROUPCLINIC","30","PharmacyDailySalesInvoice","PharmacyDailySalesInvoice"
"Report","31","0","IGROUPCLINIC","31","PharmacyDailySalesInvoiceSummary","PharmacyDailySalesInvoiceSummary"
"Report","38","0","IGROUPCLINIC","38","PharmacyDailySalesInvoiceSummaryTimeWise","PharmacyDailySalesInvoiceSummaryTimeWise"
"Report","39","0","IGROUPCLINIC","39","PharmacyDailySalesInvoiceSummaryTimeWise1","PharmacyDailySalesInvoiceSummaryTimeWise1"
"Report","26","0","IGROUPCLINIC","26","PharmacyDailySalesUserWise","PharmacyDailySalesUserWise"
"Report","28","0","IGROUPCLINIC","28","PharmacyDateWiseVATStatement","PharmacyDateWiseVATStatement"
"Report","29","0","IGROUPCLINIC","29","PharmacyDateWiseVATStatement","PharmacyDateWiseVATStatement"
"Report","32","0","IGROUPCLINIC","32","PharmacyDateWiseVATStatement","PharmacyDateWiseVATStatement"
"Report","33","0","IGROUPCLINIC","33","PharmacyItemWiseSalesHistory","PharmacyItemWiseSalesHistory"
"Report","34","0","IGROUPCLINIC","34","PharmacyItemWiseSalesHistorySummary","PharmacyItemWiseSalesHistorySummary"
"Report","25","0","IGROUPCLINIC","25","PharmacyPurchaseVATStatement","PharmacyPurchaseVATStatement"
"Report","27","0","IGROUPCLINIC","27","PharmacySummaryStatementDateWise","PharmacySummaryStatementDateWise"
"Report","191","1","IGROUPCLINIC","132","PMR Doctors Form.Rpt","PMR Doctors Request"
"Report","21","0","IGROUPCLINIC","21","PurchaseOrder","PurchaseOrder"
