"Path","Exists","BlobHash","SizeBytes","FileName","BackupStyle","BackupReason","ProjectIncluded","TextReferenced","ReferenceEvidence","DuplicateCount","CanonicalPath","Classification","ProposedAction"
"Accounts/Reports/IGroup/Reports/RevenuePosting/Combined Total Income per Cost Center Cash New.rpt","True","42b133d77ec13ff8b51b4615b4dc680cf4c1bd46","53760","Combined Total Income per Cost Center Cash New.rpt","False","","False","False","","2","IGroup/Reports/RevenuePosting/Combined Total Income per Cost Center Cash New.rpt","Exact duplicate retained pending filename/path validation","Retain"
"Accounts/Reports/IGroup/Reports/RevenuePosting/Combined Total Income per Cost Center Cash Only.rpt","True","887aa99ed046646c095e2817221b10c454a9d5bd","54784","Combined Total Income per Cost Center Cash Only.rpt","False","","False","False","","2","IGroup/Reports/RevenuePosting/Combined Total Income per Cost Center Cash Only.rpt","Exact duplicate retained pending filename/path validation","Retain"
"Accounts/Reports/IGroup/Reports/RevenuePosting/Combined Total Income per Cost Center.rpt","True","03409a64f3a828478124d9788ac00441ae34fb03","53760","Combined Total Income per Cost Center.rpt","False","","False","False","","2","IGroup/Reports/RevenuePosting/Combined Total Income per Cost Center.rpt","Exact duplicate retained pending filename/path validation","Retain"
"Accounts/Reports/IGroup/Reports/RevenuePosting/Pharmacy Total Income per Company Cost Center.rpt","True","6f268116b26fca8fc4c7a37e85c319542f6e014f","56832","Pharmacy Total Income per Company Cost Center.rpt","False","","False","False","","2","IGroup/Reports/RevenuePosting/Pharmacy Total Income per Company Cost Center.rpt","Exact duplicate retained pending filename/path validation","Retain"
"Accounts/Reports/IGroup/Reports/RevenuePosting/Pharmacy Total Income per Cost Center.rpt","True","6f932bdfa84f1bc329615d2f4b6e2bf66c1a19ab","53760","Pharmacy Total Income per Cost Center.rpt","False","","False","False","","2","IGroup/Reports/RevenuePosting/Pharmacy Total Income per Cost Center.rpt","Exact duplicate retained pending filename/path validation","Retain"
"Accounts/Reports/IGroup/Reports/RevenuePosting/test.rpt","True","f3a66f18a1e79d470f79737ef560eee155fc9030","56832","test.rpt","True","Archive-style filename","False","False","","2","IGroup/Reports/RevenuePosting/test.rpt","Unreferenced exact duplicate with archive-style name/path","QuarantineExactDuplicate"
"Accounts/Reports/IGroup/Reports/RevenueReportDoctorWiseCombined.rpt","True","ec9c75cd3da75cc7c49eaa935d49080172c4c66f","54784","RevenueReportDoctorWiseCombined.rpt","False","","False","False","","2","IGroup/Reports/RevenueReportDoctorWiseCombined.rpt","Exact duplicate retained pending filename/path validation","Retain"
"Accounts/Reports/IGroup/Reports/RevenueReportDoctorWisePatients.rpt","True","89f4903b5803decfa2a1b762f3decc44a6abc407","54784","RevenueReportDoctorWisePatients.rpt","False","","False","False","","3","IGroup/Reports/RevenueReportDoctorWisePatients.rpt","Exact duplicate retained pending filename/path validation","Retain"
"Accounts/Reports/IGroup/Reports/SaleProfitabilityDateWise.rpt","True","e873142f9618bda8d425f70bdc65c66ea6e0e01a","19456","SaleProfitabilityDateWise.rpt","False","","False","False","","5","IGroup/Reports/SaleProfitabilityDateWise.rpt","Exact duplicate retained pending filename/path validation","Retain"
"Accounts/Reports/IGroup/Reports/SaleProfitabilityInvoiceWise.rpt","True","5ea7e1600f682c5c70a9b80cd89c199869e7024c","17920","SaleProfitabilityInvoiceWise.rpt","False","","False","False","","5","IGroup/Reports/SaleProfitabilityInvoiceWise.rpt","Exact duplicate retained pending filename/path validation","Retain"
