"Path","BlobHash","SizeBytes","DuplicateCount","CanonicalPath","Classification","ProposedAction","ProjectIncluded","TextReferenced"
"Accounts/Reports/IGroup/Reports/Backup/ClinicBillPrintx.rpt","91c7077b92980bd5d4bbd3438bff4042ed1b8f37","14848","6","IGroup/Reports/ClinicBillPrintx.rpt","Unreferenced exact duplicate with archive-style name/path","QuarantineExactDuplicate","False","False"
"Accounts/Reports/IGroup/Reports/Backup/ClinicBillPrintxxxx.rpt","0e262cb2b0083f61c15b793ab89d6caa2557c63e","16384","5","IGroup/Reports/ClinicBillPrintxxxx.rpt","Unreferenced exact duplicate with archive-style name/path","QuarantineExactDuplicate","False","False"
"Accounts/Reports/IGroup/Reports/Backup/ClinicCreditStatement (2).rpt","f8a0d5bb1cf5937cf3a92bfb06157c3b9b0808c6","50176","6","Accounts/Reports/IGroup/Reports/ClinicCreditStatementOrig.rpt","Unreferenced exact duplicate with archive-style name/path","QuarantineExactDuplicate","False","False"
"Accounts/Reports/IGroup/Reports/Backup/ClinicCreditStatement.rpt","f8a0d5bb1cf5937cf3a92bfb06157c3b9b0808c6","50176","6","Accounts/Reports/IGroup/Reports/ClinicCreditStatementOrig.rpt","Unreferenced exact duplicate with archive-style name/path","QuarantineExactDuplicate","False","False"
"Accounts/Reports/IGroup/Reports/Backup/ClinicDailyInvoiceSummaryDoctorWise (2).rpt","0174425d7d13c25c7e890c69d0e53bf8fc3155d1","16896","5","IGroup/Reports/ClinicDailyInvoiceSummaryDoctorWise.rpt","Unreferenced exact duplicate with archive-style name/path","QuarantineExactDuplicate","False","False"
"Accounts/Reports/IGroup/Reports/Backup/ClinicDailyInvoiceSummaryDoctorWise.rpt","0174425d7d13c25c7e890c69d0e53bf8fc3155d1","16896","5","IGroup/Reports/ClinicDailyInvoiceSummaryDoctorWise.rpt","Unreferenced exact duplicate with archive-style name/path","QuarantineExactDuplicate","False","False"
"Accounts/Reports/IGroup/Reports/Backup/ClinicDailyReceptionDoctorWise (2).rpt","e65a7cf009ca7be8ee9f105f15875477c1ccc8fb","51200","7","IGroup/Reports/ClinicDailyReceptionDoctorWise.rpt","Unreferenced exact duplicate with archive-style name/path","QuarantineExactDuplicate","False","False"
"Accounts/Reports/IGroup/Reports/Backup/ClinicDailyReceptionDoctorWise.rpt","e65a7cf009ca7be8ee9f105f15875477c1ccc8fb","51200","7","IGroup/Reports/ClinicDailyReceptionDoctorWise.rpt","Unreferenced exact duplicate with archive-style name/path","QuarantineExactDuplicate","False","False"
"Accounts/Reports/IGroup/Reports/Backup/ClinicDailyReceptionInvoiceIQAMA (2).rpt","05c7de88d51adad7644b19563e94ff251fe32078","19456","5","IGroup/Reports/ClinicDailyReceptionInvoiceIQAMA.rpt","Unreferenced exact duplicate with archive-style name/path","QuarantineExactDuplicate","False","False"
"Accounts/Reports/IGroup/Reports/Backup/ClinicDailyReceptionInvoiceIQAMA.rpt","05c7de88d51adad7644b19563e94ff251fe32078","19456","5","IGroup/Reports/ClinicDailyReceptionInvoiceIQAMA.rpt","Unreferenced exact duplicate with archive-style name/path","QuarantineExactDuplicate","False","False"
"Accounts/Reports/IGroup/Reports/Backup/ClinicDailyReceptionInvoiceNew.rpt","e13bccbb64781e4c1fef496d5cc8f6e061113afa","55808","3","IGroup/Reports/ClinicDailyReceptionInvoiceNew.rpt","Unreferenced exact duplicate with archive-style name/path","QuarantineExactDuplicate","False","False"
"Accounts/Reports/IGroup/Reports/Backup/ClinicDailyReceptionInvoiceOld.rpt","0b87796f5d5b370b10aa4f1086c2f0a30a170864","53760","3","IGroup/Reports/ClinicDailyReceptionInvoiceOld.rpt","Unreferenced exact duplicate with archive-style name/path","QuarantineExactDuplicate","False","False"
"Accounts/Reports/IGroup/Reports/Backup/ClinicDailyReceptionInvoicePerDay (2).rpt","70c2d1e527f307e2eff7a0617cdd6b9d8835a483","53760","3","IGroup/Reports/ClinicDailyReceptionInvoicePerDay.rpt","Unreferenced exact duplicate with archive-style name/path","QuarantineExactDuplicate","False","False"
"Accounts/Reports/IGroup/Reports/Backup/ClinicDailyReceptionInvoicePerDay.rpt","5ff1b20c686728d641799ceac848a108abe62bb8","53760","4","IGroup/Reports/Mine/ClinicDailyReceptionInvoicePerDate.rpt","Unreferenced exact duplicate with archive-style name/path","QuarantineExactDuplicate","False","False"
"Accounts/Reports/IGroup/Reports/Backup/ClinicDailyReceptionInvoiceSummary.rpt","e9f3a43575ec66b3f30f0cef4568f6629424fb7b","56832","3","IGroup/Reports/ClinicDailyReceptionInvoiceSummary.rpt","Unreferenced exact duplicate with archive-style name/path","QuarantineExactDuplicate","False","False"
"Accounts/Reports/IGroup/Reports/Backup/ClinicDailyReceptionUserWise (2).rpt","3fe6377f182453034dbc32db30db98a0a94536ae","52736","6","IGroup/Reports/ClinicDailyReceptionUserWise.rpt","Unreferenced exact duplicate with archive-style name/path","QuarantineExactDuplicate","False","False"
"Accounts/Reports/IGroup/Reports/Backup/ClinicDailyReceptionUserWise.rpt","3fe6377f182453034dbc32db30db98a0a94536ae","52736","6","IGroup/Reports/ClinicDailyReceptionUserWise.rpt","Unreferenced exact duplicate with archive-style name/path","QuarantineExactDuplicate","False","False"
"Accounts/Reports/IGroup/Reports/Backup/ClinicDailyReceptionUserWise111 (2).rpt","8d849ace9ccc803278721c17e7893dd951237b97","51712","6","IGroup/Reports/ISP/ATM-ClinicDailyReceptionUserWise111.rpt","Unreferenced exact duplicate with archive-style name/path","QuarantineExactDuplicate","False","False"
"Accounts/Reports/IGroup/Reports/Backup/ClinicDailyReceptionUserWise111.rpt","8d849ace9ccc803278721c17e7893dd951237b97","51712","6","IGroup/Reports/ISP/ATM-ClinicDailyReceptionUserWise111.rpt","Unreferenced exact duplicate with archive-style name/path","QuarantineExactDuplicate","False","False"
"Accounts/Reports/IGroup/Reports/Backup/ClinicDailyReceptionUserWise3 (2).rpt","94c6292fcbea32fda99ad37401ebcf9ed7350c1e","54784","7","IGroup/Reports/ClinicDailyReceptionUserWise3.rpt","Unreferenced exact duplicate with archive-style name/path","QuarantineExactDuplicate","False","False"
"Accounts/Reports/IGroup/Reports/Backup/ClinicDailyReceptionUserWise3.rpt","94c6292fcbea32fda99ad37401ebcf9ed7350c1e","54784","7","IGroup/Reports/ClinicDailyReceptionUserWise3.rpt","Unreferenced exact duplicate with archive-style name/path","QuarantineExactDuplicate","False","False"
